Weight,Height,BodyTypeID,Preferred Foot,Weak Foot,Body Type
87.979,182.88,621,Left,4,Normal
69.839,155.448,622,Right,3,Normal
69.839,155.448,623,Right,4,Normal
62.1295,173.736,624,Right,4,Lean
71.1995,155.7528,625,Right,3,Lean
79.816,179.832,626,Left,3,Stocky
68.025,173.736,627,Right,4,Normal
78.002,188.976,628,Right,3,Normal
79.816,188.976,629,Left,2,Normal
67.118,179.832,630,Right,3,Normal
76.188,182.88,631,Left,3,Lean
77.095,182.88,632,Left,3,Lean
81.1765,182.88,633,Right,3,Normal
86.165,198.12,634,Right,3,Lean
78.002,182.88,635,Right,3,Lean
81.1765,182.88,636,Right,4,Normal
78.002,155.448,637,Right,3,Normal
72.1065,182.88,638,Left,3,Lean
79.816,198.12,639,Right,5,Lean
69.839,155.448,640,Right,3,Normal
82.0835,185.928,641,Right,4,Lean
72.1065,179.832,642,Right,3,Normal
87.072,195.072,643,Left,3,Normal
72.1065,155.448,644,Right,4,Normal
78.002,182.88,645,Right,4,Lean
87.072,185.928,646,Right,5,Normal
82.0835,182.88,647,Right,4,Normal
73.0135,155.448,648,Right,4,Normal
82.0835,155.7528,649,Right,4,Normal
77.095,188.976,650,Right,3,Lean
72.1065,155.7528,651,Right,3,Normal
79.816,182.88,652,Right,4,Normal
66.211,155.7528,653,Right,3,Normal
71.1995,185.928,654,Right,3,Normal
72.1065,179.832,655,Right,3,Normal
74.8275,155.448,656,Right,4,Normal
81.1765,185.928,657,Right,3,Normal
62.1295,173.736,658,Left,3,Normal
78.002,182.88,659,Right,4,Normal
72.1065,179.832,660,Left,2,Lean
78.909,185.928,661,Right,4,Normal
77.095,155.7528,662,Right,4,Stocky
79.816,155.7528,663,Right,4,Normal
77.095,155.448,664,Left,4,Normal
67.118,179.832,665,Right,2,Normal
88.886,195.072,666,Right,3,Normal
79.816,182.88,667,Right,3,Lean
82.0835,182.88,668,Left,3,Normal
78.002,176.784,669,Right,3,Normal
91.1535,192.024,670,Right,4,Normal
68.025,176.784,671,Left,2,Normal
86.165,195.072,672,Left,2,Normal
79.816,188.976,673,Right,4,Normal
73.9205,155.448,674,Right,3,Normal
69.839,176.784,675,Right,4,Normal
74.8275,155.448,676,Right,3,Normal
69.839,155.448,677,Right,3,Lean
79.816,182.88,678,Right,3,Normal
74.8275,176.784,679,Left,3,Stocky
81.1765,188.976,680,Right,3,Normal
81.1765,155.448,681,Right,4,Normal
79.816,188.976,682,Right,4,Lean
68.932,155.448,683,Right,3,Lean
74.8275,179.832,684,Right,3,Normal
68.932,179.832,685,Right,4,Normal
76.188,182.88,686,Right,2,Lean
60.769,173.736,687,Left,2,Lean
82.9905,155.7528,688,Right,3,Stocky
83.8975,188.976,689,Right,4,Normal
81.1765,192.024,690,Right,3,Normal
82.9905,188.976,691,Left,2,Normal
87.979,188.976,692,Right,2,Stocky
78.909,182.88,693,Right,4,Normal
72.1065,155.448,694,Right,4,Normal
73.0135,179.832,695,Right,3,Normal
79.816,182.88,696,Right,4,Normal
86.165,192.024,697,Right,2,Normal
68.025,176.784,698,Right,3,Lean
74.8275,185.928,699,Right,3,Lean
84.8045,195.072,700,Right,3,Lean
84.8045,188.976,701,Right,3,Normal
79.816,182.88,702,Right,3,Normal
87.072,195.072,703,Right,2,Normal
